Region and Local Authority,ONS Code,Underweight_number,Underweight_percent,"Lower
CI","Upper 
CI",Healthyweight_number,Healthyweight_percent,"Lower
CI","Upper 
CI",Overweight_number,Overweight_percent,"Lower
CI","Upper 
CI",Obese_number,Obese_percent,"Lower
CI","Upper 
CI",Severely obese_number,Severely obese_percent,"Lower
CI","Upper 
CI",overandobese_number,overandobese_percent,"Lower
CI","Upper 
CI",Total number of children
Boston,E07000136,12,1.472392638,0.84424419,2.555859521,466,57.17791411,53.75488029,60.53359995,116,14.23312883,12.00196267,16.79988368,221,27.11656442,24.17707804,30.27075847,50.00,6.13,4.68,8.00,337.00,41.35,38.02,44.76,815.00
East Lindsey,E07000137,19,1.356174161,0.869912917,2.108462939,892,63.66880799,61.11615586,66.14670698,211,15.06067095,13.28347309,17.02894801,279,19.9143469,17.90668526,22.08654353,71.00,5.07,4.04,6.34,490.00,34.98,32.52,37.51,1401.00
Lincoln,E07000138,9,0.935550936,0.492966492,1.768425232,591,61.43451143,58.31896154,64.45910395,143,14.86486486,12.75673991,17.25247704,219,22.76507277,20.22671981,25.52006966,48.00,4.99,3.78,6.55,362.00,37.63,34.62,40.73,962.00
North Kesteven,E07000139,10,0.821018062,0.446566505,1.504706195,815,66.91297209,64.22095886,69.49863683,165,13.54679803,11.73909946,15.5837137,228,18.71921182,16.62819923,21.00691746,40.00,3.28,2.42,4.44,393.00,32.27,29.70,34.94,1218.00
South Holland,E07000140,7,0.751072961,0.364287708,1.542173975,558,59.87124464,56.69007102,62.97137892,150,16.0944206,13.87508795,18.59210572,217,23.2832618,20.68292582,26.10293247,53.00,5.69,4.37,7.36,367.00,39.38,36.29,42.55,932.00
South Kesteven,E07000141,16,1.01845958,0.627865527,1.648011745,1036,65.9452578,63.56553123,68.24719489,227,14.44939529,12.7974837,16.27474171,292,18.58688733,16.74075124,20.58627337,68.00,4.33,3.43,5.45,519.00,33.04,30.75,35.40,1571.00
West Lindsey,E07000142,15,1.547987616,0.940313209,2.538306921,630,65.01547988,61.95869385,67.95368266,142,14.65428277,12.5671866,17.02051818,182,18.78224974,16.44813294,21.36290559,43.00,4.44,3.31,5.92,324.00,33.44,30.54,36.47,969.00
Northamptonshire,E10000021,87,1.066568591,0.865547918,1.313657005,5412,66.34792203,65.31501764,67.36543588,1147,14.06154223,13.32406188,14.83285638,1511,18.52396714,17.69577947,19.38178752,309.00,3.79,3.40,4.22,2658.00,32.59,31.58,33.61,8157.00
Corby,E07000150,11,1.234567901,0.690740063,2.197085324,544,61.05499439,57.81225271,64.20282024,128,14.36588103,12.21569164,16.82201736,208,23.34455668,20.68496834,26.23300296,42.00,4.71,3.51,6.31,336.00,37.71,34.59,40.94,891.00
Daventry,E07000151,8,0.951248514,0.482784773,1.865757503,574,68.25208086,65.0291027,71.30907611,115,13.67419738,11.51672527,16.16201331,144,17.12247325,14.72740472,19.81652726,26.00,3.09,2.12,4.49,259.00,30.80,27.77,34.00,841.00
East Northamptonshire,E07000152,13,1.403887689,0.822250868,2.387055249,630,68.03455724,64.96169698,70.95840497,124,13.39092873,11.34802916,15.73631478,159,17.17062635,14.87848386,19.73402516,35.00,3.78,2.73,5.21,283.00,30.56,27.68,33.60,926.00
Kettering,E07000153,11,0.990990991,0.554243778,1.765786475,724,65.22522523,62.37532676,67.97010501,181,16.30630631,14.24989598,18.59512482,194,17.47747748,15.35653017,19.82275461,49.00,4.41,3.36,5.79,375.00,33.78,31.06,36.62,1110.00
Northampton,E07000154,28,1.074856046,0.744704672,1.54908971,1714,65.79654511,63.9527618,67.59380831,364,13.9731286,12.69470205,15.35765263,499,19.15547025,17.69013909,20.71163713,104.00,3.99,3.31,4.81,863.00,33.13,31.35,34.96,2605.00
South Northamptonshire,E07000155,6,0.640341515,0.293794974,1.389959359,680,72.57203842,69.62755757,75.33219586,116,12.37993597,10.42343141,14.64364621,135,14.4076841,12.30440235,16.80161294,17.00,1.81,1.14,2.89,251.00,26.79,24.05,29.71,937.00
Wellingborough,E07000156,10,1.180637544,0.642543762,2.1595598,546,64.46280992,61.18082024,67.61420349,119,14.04958678,11.87130394,16.55249421,172,20.30696576,17.73463939,23.14741392,36.00,4.25,3.09,5.83,291.00,34.36,31.24,37.62,847.00
Nottingham,E06000018,56,1.588201929,1.225109152,2.056665969,2104,59.67101531,58.04214955,61.27883152,549,15.57005105,14.41084399,16.80419702,817,23.17073171,21.80773712,24.59212185,201.00,5.70,4.98,6.52,1366.00,38.74,37.15,40.36,3526.00
Nottinghamshire,E10000024,108,1.241950322,1.029767504,1.497191865,5822,66.95032199,65.95436446,67.93131051,1131,13.00597976,12.31530621,13.72932311,1635,18.80174793,17.99436706,19.63668029,362.00,4.16,3.76,4.60,2766.00,31.81,30.84,32.79,8696.00
Ashfield,E07000170,15,1.094890511,0.664631315,1.798641183,850,62.04379562,59.44381753,64.57642133,189,13.79562044,12.07050629,15.72319992,316,23.06569343,20.91220542,25.36980585,81.00,5.91,4.78,7.29,505.00,36.86,34.35,39.45,1370.00
Bassetlaw,E07000171,12,0.987654321,0.565873122,1.718382851,796,65.51440329,62.79659166,68.13442051,152,12.51028807,10.76737133,14.48951968,255,20.98765432,18.79111975,23.36706704,60.00,4.94,3.86,6.30,407.00,33.50,30.90,36.20,1215.00
Broxtowe,E07000172,12,1.067615658,0.611763352,1.856798041,765,68.06049822,65.27724362,70.72072372,154,13.70106762,11.81409843,15.83530711,193,17.17081851,15.07884163,19.48642956,49.00,4.36,3.31,5.72,347.00,30.87,28.24,33.63,1124.00
Gedling,E07000173,11,0.866824271,0.484703732,1.545514458,861,67.84869976,65.22841841,70.36124571,168,13.23877069,11.48455157,15.21488192,229,18.04570528,16.02726397,20.25702389,44.00,3.47,2.59,4.62,397.00,31.28,28.79,33.89,1269.00
Mansfield,E07000174,22,1.833333333,1.213783484,2.760282908,745,62.08333333,59.3037756,64.78577522,158,13.16666667,11.3705396,15.19786411,275,22.91666667,20.62730566,25.37887354,70.00,5.83,4.64,7.31,433.00,36.08,33.41,38.84,1200.00
Newark and Sherwood,E07000175,19,1.479750779,0.949346873,2.299613512,863,67.21183801,64.59609977,69.72489503,175,13.62928349,11.86077662,15.61476833,227,17.67912773,15.68976512,19.86130801,38.00,2.96,2.16,4.04,402.00,31.31,28.83,33.90,1284.00
Rushcliffe,E07000176,17,1.377633712,0.861887428,2.195164713,942,76.33711507,73.8863225,78.62444092,135,10.94003241,9.318163231,12.80433532,140,11.3452188,9.694368511,13.23598794,20.00,1.62,1.05,2.49,275.00,22.29,20.05,24.69,1234.00
Rutland,E06000017,x,x,x,x,x,x,x,x,54,16.11940299,12.5695023,20.43751497,46,13.73134328,10.45487424,17.83017068,8.00,2.39,1.21,4.64,100.00,29.85,25.20,34.96,335.00
,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST MIDLANDS,E12000005,981,1.449489502,1.362160784,1.54232936,41327,61.06325448,60.69527725,61.42997588,9844,14.54513217,14.28153198,14.81275697,15527,22.94212385,22.62689308,23.26042606,3593.00,5.31,5.14,5.48,25371.00,37.49,37.12,37.85,67679.00
Birmingham,E08000025,251,1.621656545,1.434338621,1.83298239,8979,58.01137098,57.23195436,58.78681192,2268,14.65305595,14.10470654,15.2189464,3980,25.71391653,25.03146265,26.40842245,1007.00,6.51,6.13,6.91,6248.00,40.37,39.60,41.14,15478.00
Coventry,E08000026,78,1.823281907,1.463438433,2.269568974,2563,59.91117345,58.43434822,61.37021503,670,15.66152408,14.6033092,16.78135256,967,22.60402057,21.37554888,23.88164892,221.00,5.17,4.54,5.87,1637.00,38.27,36.82,39.73,4278.00
Dudley,E08000027,42,1.148796499,0.851038355,1.549105472,2175,59.49124726,57.89081148,61.07175856,553,15.12582057,14.00103013,16.32382059,886,24.23413567,22.87266729,25.64969301,219.00,5.99,5.27,6.81,1439.00,39.36,37.79,40.95,3656.00
"Herefordshire, County of",E06000019,20,1.160092807,0.752229216,1.785125042,1106,64.15313225,61.86029025,66.38304177,236,13.68909513,12.1470636,15.39258458,362,20.99767981,19.14063331,22.98368632,75.00,4.35,3.48,5.42,598.00,34.69,32.48,36.97,1724.00
Sandwell,E08000028,90,1.899535669,1.548015351,2.328990247,2599,54.85436893,53.43402389,56.26684873,706,14.90080203,13.9152949,15.94317825,1343,28.34529337,27.07997993,29.64569262,353.00,7.45,6.74,8.23,2049.00,43.25,41.84,44.66,4738.00
Shropshire,E06000051,33,1.212789416,0.864873766,1.698264672,1863,68.46747519,66.69663306,70.18624674,374,13.74494671,12.50221925,15.08989831,451,16.57478868,15.22490826,18.01891427,65.00,2.39,1.88,3.03,825.00,30.32,28.62,32.07,2721.00
Solihull,E08000029,33,1.442307692,1.028834638,2.018560222,1520,66.43356643,64.4725121,68.33953069,316,13.81118881,12.45801763,15.28567539,419,18.31293706,16.78168284,19.95041552,77.00,3.37,2.70,4.19,735.00,32.12,30.24,34.07,2288.00
Staffordshire,E10000028,100,1.157675388,0.952811222,1.405962192,5547,64.21625376,63.1992424,65.22062635,1280,14.81824496,14.08466064,15.58310717,1711,19.80782589,18.98084941,20.66164432,355.00,4.11,3.71,4.55,2991.00,34.63,33.63,35.64,8638.00
Cannock Chase,E07000192,9,0.899100899,0.473731635,1.699890744,622,62.13786214,59.09207607,65.09084332,156,15.58441558,13.4695075,17.9624618,214,21.37862138,18.95078688,24.02529208,52.00,5.19,3.98,6.75,370.00,36.96,34.03,40.00,1001.00
East Staffordshire,E07000193,23,1.702442635,1.137074209,2.541692667,863,63.87860844,61.28117127,66.397344,196,14.50777202,12.73042088,16.48638942,269,19.91117691,17.86841147,22.12456743,55.00,4.07,3.14,5.26,465.00,34.42,31.93,36.99,1351.00
Lichfield,E07000194,11,1.154249738,0.645719415,2.054984927,633,66.42182581,63.36282282,69.34897045,128,13.43126967,11.41253674,15.74362967,181,18.99265477,16.62870045,21.60558125,34.00,3.57,2.56,4.94,309.00,32.42,29.53,35.46,953.00
Newcastle-under-Lyme,E07000195,15,1.28314799,0.779128879,2.106295964,732,62.6176219,59.80706789,65.34552182,159,13.60136869,11.75508447,15.68608897,263,22.49786142,20.19647442,24.97940633,57.00,4.88,3.78,6.27,422.00,36.10,33.40,38.89,1169.00
South Staffordshire,E07000196,x,x,x,x,x,x,x,x,150,16.11170784,13.89017153,18.6117523,160,17.1858217,14.89856993,19.74275409,28.00,3.01,2.09,4.31,310.00,33.30,30.34,36.39,931.00
Stafford,E07000197,17,1.228323699,0.768307781,1.95833355,908,65.60693642,63.06423621,68.06323856,203,14.66763006,12.90156607,16.62928965,256,18.49710983,16.53969111,20.62892463,51.00,3.68,2.81,4.81,459.00,33.16,30.73,35.69,1384.00
Staffordshire Moorlands,E07000198,x,x,x,x,x,x,x,x,155,16.36747624,14.14778255,18.85892492,176,18.58500528,16.23621805,21.18762959,41.00,4.33,3.21,5.82,331.00,34.95,31.98,38.04,947.00
Tamworth,E07000199,12,1.33037694,0.762644715,2.310901825,565,62.63858093,59.43420809,65.73575932,133,14.74501109,12.58078725,17.20825102,192,21.28603104,18.73941869,24.07618166,37.00,4.10,2.99,5.60,325.00,36.03,32.96,39.22,902.00
Stoke-on-Trent,E06000021,45,1.414204903,1.058610368,1.886968062,1867,58.67379007,56.95339868,60.3732639,478,15.02199874,13.82279723,16.30555257,792,24.89000629,23.41857509,26.42199228,186.00,5.85,5.08,6.71,1270.00,39.91,38.22,41.62,3182.00
Telford and Wrekin,E06000020,24,1.110596946,0.747449851,1.647250168,1361,62.9801018,60.92292268,64.99121518,310,14.34521055,12.9305193,15.88643893,466,21.5640907,19.88137533,23.34772374,110.00,5.09,4.24,6.10,776.00,35.91,33.91,37.96,2161.00
Walsall,E08000030,69,1.888858472,1.49529468,2.383502375,2110,57.76074459,56.15165161,59.35353248,516,14.1253764,13.03360609,15.29251826,958,26.22502053,24.82414486,27.67584674,225.00,6.16,5.42,6.99,1474.00,40.35,38.77,41.95,3653.00
Warwickshire,E10000031,60,1.009761023,0.785324153,1.297500619,3958,66.61056883,65.40106979,67.79860453,803,13.51396836,12.66824924,14.4068329,1121,18.86570178,17.89116986,19.88046388,214.00,3.60,3.16,4.11,1924.00,32.38,31.20,33.58,5942.00
North Warwickshire,E07000218,6,0.930232558,0.427011512,2.014487656,393,60.93023256,57.11077792,64.62026255,96,14.88372093,12.34506894,17.83818402,150,23.25581395,20.15967027,26.66863496,23.00,3.57,2.39,5.29,246.00,38.14,34.47,41.95,645.00
Nuneaton and Bedworth,E07000219,13,0.851342502,0.498202457,1.451147598,953,62.40995416,59.95230276,64.80532304,211,13.81794368,12.1776813,15.63979492,350,22.92075966,20.88206237,25.09536101,77.00,5.04,4.05,6.26,561.00,36.74,34.36,39.19,1527.00
Rugby,E07000220,12,1.009251472,0.578266703,1.755778497,787,66.19007569,63.45285717,68.8230163,169,14.21362489,12.34391325,16.31383136,221,18.58704794,16.47835377,20.89806835,38.00,3.20,2.34,4.36,390.00,32.80,30.19,35.52,1189.00
Stratford-on-Avon,E07000221,12,0.97799511,0.56033043,1.701655354,854,69.600652,66.96903019,72.10992645,152,12.38793806,10.66111668,14.34953409,209,17.03341483,15.03363873,19.2389685,36.00,2.93,2.13,4.04,361.00,29.42,26.94,32.03,1227.00
Warwick,E07000222,17,1.255539143,0.785361947,2.001521498,971,71.71344165,69.2556271,74.04839755,175,12.92466765,11.2421238,14.81699058,191,14.10635155,12.35366768,16.06212831,40.00,2.95,2.18,4.00,366.00,27.03,24.73,29.46,1354.00
Wolverhampton,E08000031,49,1.47324113,1.116198366,1.942249314,1811,54.44978954,52.75311863,56.13619347,490,14.7324113,13.56858011,15.97761514,976,29.34455803,27.82162169,30.91515251,285.00,8.57,7.66,9.57,1466.00,44.08,42.40,45.77,3326.00
Worcestershire,E10000034,87,1.476077367,1.198293597,1.817071602,3868,65.6260604,64.40369549,66.82806978,844,14.3196471,13.44864495,15.23712883,1095,18.57821513,17.60587118,19.59149118,201.00,3.41,2.98,3.90,1939.00,32.90,31.71,34.11,5894.00
Bromsgrove,E07000234,6,0.606673407,0.278331702,1.317236118,709,71.68857432,68.80110582,74.40820985,123,12.43680485,10.52431402,14.63997144,151,15.26794742,13.16100864,17.64365369,24.00,2.43,1.64,3.59,274.00,27.70,25.01,30.58,989.00
Malvern Hills,E07000235,9,1.391035549,0.733522919,2.622357154,431,66.61514683,62.89272411,70.14143453,84,12.98299845,10.60999674,15.79297076,123,19.01081917,16.17361939,22.21383357,25.00,3.86,2.63,5.64,207.00,31.99,28.51,35.69,647.00
Redditch,E07000236,20,2.076843198,1.348399081,3.186104318,634,65.83592939,62.78292921,68.76309079,139,14.43406023,12.35565697,16.79508499,170,17.65316719,15.37496905,20.18840649,35.00,3.63,2.62,5.01,309.00,32.09,29.22,35.10,963.00
Worcester,E07000237,20,1.819836215,1.181110391,2.794207953,724,65.87807097,63.02401722,68.62151054,152,13.83075523,11.9153826,15.99810001,203,18.47133758,16.28820941,20.87410939,34.00,3.09,2.22,4.29,355.00,32.30,29.60,35.12,1099.00
Wychavon,E07000238,16,1.382886776,0.852988214,2.234553031,723,62.4891962,59.66245069,65.23328316,182,15.73033708,13.74624227,17.94124236,236,20.39757995,18.17546779,22.81561288,39.00,3.37,2.48,4.57,418.00,36.13,33.41,38.94,1157.00
Wyre Forest,E07000239,16,1.539942252,0.950083257,2.486820648,647,62.27141482,59.28402722,65.16839532,164,15.78440808,13.69402308,18.12686935,212,20.40423484,18.06489639,22.96161393,44.00,4.23,3.17,5.64,376.00,36.19,33.32,39.16,1039.00
,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST OF ENGLAND,E12000006,937,1.398611837,1.312433757,1.490363154,44999,67.16769908,66.81112683,67.52230268,9010,13.44876483,13.19251167,13.70920941,12049,17.98492425,17.69593989,18.27757986,2330.00,3.48,3.34,3.62,21059.00,31.43,31.08,31.79,66995.00
Bedford,E06000055,34,1.668302257,1.196292195,2.322171911,1276,62.61040236,60.48791416,64.68544089,297,14.57311089,13.10789173,16.17163222,431,21.14818449,19.43038547,22.97454539,89.00,4.37,3.56,5.34,728.00,35.72,33.67,37.83,2038.00
Cambridgeshire,E10000003,99,1.563734007,1.286177524,1.900034162,4524,71.45790554,70.33270595,72.55708091,792,12.50987206,11.71761064,13.34760163,916,14.46848839,13.62349366,15.35657586,161.00,2.54,2.18,2.96,1708.00,26.98,25.90,28.09,6331.00
Cambridge,E07000008,17,1.74717369,1.09367137,2.78018743,704,72.35354573,69.45956723,75.07171224,123,12.64131552,10.69911743,14.87734194,129,13.25796506,11.27093432,15.53397414,24.00,2.47,1.66,3.64,252.00,25.90,23.25,28.74,973.00
East Cambridgeshire,E07000009,12,1.321585903,0.757594756,2.295727568,654,72.02643172,69.01870514,74.84856982,106,11.67400881,9.745010152,13.92593141,136,14.97797357,12.80459729,17.44643551,21.00,2.31,1.52,3.51,242.00,26.65,23.88,29.62,908.00
Fenland,E07000010,21,2.194357367,1.439659512,3.331310599,604,63.1138976,60.0102009,66.11273517,135,14.10658307,12.04444759,16.45572341,197,20.58516196,18.14353363,23.26199224,42.00,4.39,3.26,5.88,332.00,34.69,31.74,37.76,957.00
Huntingdonshire,E07000011,19,1.085714286,0.696160959,1.689542641,1249,71.37142857,69.20859127,73.44064571,224,12.8,11.31579225,14.44716691,258,14.74285714,13.15904542,16.48111711,45.00,2.57,1.93,3.42,482.00,27.54,25.50,29.68,1750.00
South Cambridgeshire,E07000012,30,1.721170396,1.20826155,2.446418072,1313,75.32989099,73.25184283,77.29653381,204,11.70395869,10.27832096,13.29802919,196,11.24497992,9.846271627,12.81413964,29.00,1.66,1.16,2.38,400.00,22.95,21.04,24.98,1743.00
Central Bedfordshire,E06000056,39,1.208927464,0.885624904,1.648290765,2264,70.17978921,68.57792571,71.73365047,441,13.67017979,12.52785613,14.89892225,482,14.94110353,13.75265059,16.2129521,92.00,2.85,2.33,3.48,923.00,28.61,27.08,30.20,3226.00
Essex,E10000012,197,1.242118537,1.0811714,1.426679298,10679,67.33291299,66.59888867,68.05854291,2137,13.4741488,12.9515861,14.01440111,2847,17.95081967,17.36132537,18.55583551,593.00,3.74,3.45,4.05,4984.00,31.42,30.71,32.15,15860.00
Basildon,E07000066,28,1.229688186,0.852146176,1.771510922,1478,64.90996926,62.92608581,66.84362911,311,13.65832235,12.30888203,15.13017808,460,20.2020202,18.60368296,21.90073067,111.00,4.87,4.06,5.84,771.00,33.86,31.95,35.83,2277.00
Braintree,E07000067,16,0.963275135,0.593796822,1.559048341,1130,68.03130644,65.74915742,70.23024451,228,13.72667068,12.15521345,15.46552223,287,17.27874774,15.53663619,19.17186147,45.00,2.71,2.03,3.61,515.00,31.01,28.83,33.27,1661.00
Brentwood,E07000068,10,1.275510204,0.694283456,2.331891234,575,73.34183673,70.13833628,76.31771092,90,11.47959184,9.43356374,13.90126546,109,13.90306122,11.65677119,16.50136346,22.00,2.81,1.86,4.21,199.00,25.38,22.46,28.54,784.00
Castle Point,E07000069,12,1.288936627,0.738840794,2.239360328,596,64.01718582,60.88241934,67.03675322,144,15.46723953,13.28688445,17.93139925,179,19.22663802,16.82374587,21.88243852,28.00,3.01,2.09,4.31,323.00,34.69,31.70,37.81,931.00
Chelmsford,E07000070,29,1.501812532,1.047678573,2.148524327,1327,68.72087002,66.61752524,70.74987748,250,12.94665976,11.52253727,14.5179146,325,16.83065769,15.22812794,18.5648971,68.00,3.52,2.79,4.44,575.00,29.78,27.78,31.86,1931.00
Colchester,E07000071,19,0.943864878,0.605085688,1.46951758,1351,67.11376056,65.03056872,69.13175955,288,14.30700447,12.84535084,15.90462632,355,17.63537009,16.03255635,19.36147304,64.00,3.18,2.50,4.04,643.00,31.94,29.94,34.01,2013.00
Epping Forest,E07000072,21,1.664025357,1.090921593,2.530500229,867,68.70047544,66.0885872,71.19886272,156,12.36133122,10.65878763,14.29231952,218,17.27416799,15.28865018,19.45831246,42.00,3.33,2.47,4.47,374.00,29.64,27.18,32.21,1262.00
Harlow,E07000073,19,1.532258065,0.983106544,2.380783486,762,61.4516129,58.71121368,64.1212782,171,13.79032258,11.98273574,15.82156813,288,23.22580645,20.96033345,25.65665739,87.00,7.02,5.72,8.57,459.00,37.02,34.37,39.74,1240.00
Maldon,E07000074,7,1.174496644,0.570066336,2.404296066,412,69.12751678,65.30606395,72.70397964,80,13.42281879,10.91896835,16.39515881,97,16.27516779,13.52919814,19.45309342,23.00,3.86,2.59,5.72,177.00,29.70,26.17,33.49,596.00
Rochford,E07000075,14,1.557285873,0.929875167,2.596929956,642,71.41268076,68.37291674,74.2702291,115,12.7919911,10.76590056,15.13471096,128,14.23804227,12.10576097,16.6746474,19.00,2.11,1.36,3.28,243.00,27.03,24.23,30.03,899.00
Tendring,E07000076,11,0.785153462,0.43897869,1.400478613,912,65.09635974,62.56216331,67.5479959,190,13.56174161,11.86822975,15.45453015,288,20.55674518,18.52252527,22.7519869,74.00,5.28,4.23,6.58,478.00,34.12,31.68,36.64,1401.00
Uttlesford,E07000077,11,1.271676301,0.711544298,2.262698996,627,72.48554913,69.41496441,75.35730055,114,13.17919075,11.08687355,15.59710388,113,13.06358382,10.98011504,15.4736708,10.00,1.16,0.63,2.11,227.00,26.24,23.42,29.28,865.00
Hertfordshire,E10000015,187,1.442901235,1.251507566,1.663071882,9046,69.79938272,69.00315219,70.58387929,1688,13.02469136,12.45616507,13.61513077,2039,15.73302469,15.11631514,16.37004229,329.00,2.54,2.28,2.82,3727.00,28.76,27.98,29.54,12960.00
Broxbourne,E07000095,12,1.198801199,0.687076411,2.083655089,633,63.23676324,60.20453104,66.16778846,155,15.48451548,13.37583384,17.85709909,201,20.07992008,17.71476456,22.67384155,43.00,4.30,3.20,5.74,356.00,35.56,32.66,38.58,1001.00
Dacorum,E07000096,24,1.501877347,1.011313638,2.225052766,1108,69.33667084,67.03179368,71.54880345,224,14.0175219,12.40150738,15.8061193,242,15.14392991,13.47003815,16.98500196,34.00,2.13,1.53,2.96,466.00,29.16,26.99,31.44,1598.00
East Hertfordshire,E07000242,19,1.235370611,0.792288421,1.921444472,1120,72.82184655,70.54366523,74.98630777,184,11.96358908,10.43567899,13.68103267,215,13.97919376,12.33571737,15.80216,23.00,1.50,1.00,2.23,399.00,25.94,23.81,28.19,1538.00
Hertsmere,E07000098,14,1.285583104,0.767320466,2.146318888,734,67.40128558,64.56034724,70.11988904,151,13.86593205,11.94006345,16.04583115,190,17.44719927,15.30863665,19.81461529,35.00,3.21,2.32,4.44,341.00,31.31,28.63,34.13,1089.00
North Hertfordshire,E07000099,17,1.276276276,0.798357482,2.034423203,998,74.92492492,72.5277757,77.1787217,149,11.18618619,9.60386741,12.99173754,168,12.61261261,10.93656566,14.50368824,26.00,1.95,1.34,2.84,317.00,23.80,21.59,26.16,1332.00
St. Albans,E07000240,28,1.516793066,1.051486896,2.183463782,1416,76.7063922,74.72387397,78.57799118,197,10.67172264,9.34402997,12.16275684,205,11.10509209,9.751793057,12.61993274,34.00,1.84,1.32,2.56,402.00,21.78,19.95,23.72,1846.00
Stevenage,E07000243,15,1.447876448,0.879369338,2.375113212,664,64.09266409,61.12432007,66.9568838,154,14.86486486,12.8285535,17.16077383,203,19.59459459,17.29176273,22.12207823,41.00,3.96,2.93,5.32,357.00,34.46,31.63,37.41,1036.00
Three Rivers,E07000102,20,1.926782274,1.250708045,2.957365885,743,71.57996146,68.76046804,74.24031641,124,11.9460501,10.11197026,14.06075359,151,14.54720617,12.53302114,16.82283298,16.00,1.54,0.95,2.49,275.00,26.49,23.90,29.26,1038.00
Watford,E07000103,22,1.806239737,1.19580154,2.719719452,778,63.87520525,61.13777481,66.52538865,182,14.94252874,13.05073046,17.05476778,236,19.37602627,17.25403685,21.69057871,35.00,2.87,2.07,3.97,418.00,34.32,31.71,37.03,1218.00
Welwyn Hatfield,E07000241,16,1.265822785,0.780646163,2.046320771,852,67.40506329,64.77168601,69.93296866,168,13.29113924,11.53040483,15.27432351,228,18.03797468,16.01611451,20.25351965,42.00,3.32,2.47,4.46,396.00,31.33,28.83,33.94,1264.00
Luton,E06000032,61,1.94701564,1.518772008,2.492953177,1831,58.44238749,56.70740703,60.1566904,430,13.72486435,12.5642686,14.97430707,811,25.88573252,24.38218803,27.44833896,173.00,5.52,4.78,6.38,1241.00,39.61,37.91,41.33,3133.00
Norfolk,E10000020,95,1.078442502,0.883072905,1.31646126,5830,66.18231354,65.18751645,67.16300311,1191,13.52026337,12.82208349,14.25024579,1693,19.21898059,18.40964818,20.05514748,347.00,3.94,3.55,4.37,2884.00,32.74,31.77,33.73,8809.00
Breckland,E07000143,17,1.179736294,0.737864551,1.881208884,972,67.45315753,64.99032723,69.82318099,190,13.18528799,11.5358909,15.03044664,262,18.18181818,16.27585978,20.25696918,56.00,3.89,3.00,5.01,452.00,31.37,29.02,33.81,1441.00
Broadland,E07000144,12,0.986031224,0.564941737,1.715572134,828,68.03615448,65.36290679,70.59589825,187,15.36565325,13.44883226,17.50043278,190,15.61216105,13.68143468,17.75929467,27.00,2.22,1.53,3.21,377.00,30.98,28.44,33.63,1217.00
Great Yarmouth,E07000145,8,0.741427247,0.376163072,1.456188161,661,61.26042632,58.31863399,64.12232429,156,14.45783133,12.48549799,16.68234152,254,23.54031511,21.10553998,26.16282555,60.00,5.56,4.34,7.09,410.00,38.00,35.15,40.93,1079.00
King's Lynn and West Norfolk,E07000146,15,0.967741935,0.587336581,1.590585667,974,62.83870968,60.40403645,65.20990233,225,14.51612903,12.85014952,16.35755737,336,21.67741935,19.69747879,23.79739998,78.00,5.03,4.05,6.24,561.00,36.19,33.84,38.62,1550.00
North Norfolk,E07000147,9,1.06888361,0.563346457,2.018870174,562,66.74584323,63.49391671,69.8456645,103,12.2327791,10.18948122,14.61912288,168,19.95249406,17.3922558,22.78565878,27.00,3.21,2.21,4.63,271.00,32.19,29.12,35.42,842.00
Norwich,E07000148,17,1.207386364,0.755188623,1.925102325,946,67.1875,64.69111781,69.59035176,160,11.36363636,9.809962964,13.12756,285,20.24147727,18.22501123,22.41988237,66.00,4.69,3.70,5.92,445.00,31.61,29.23,34.08,1408.00
South Norfolk,E07000149,17,1.336477987,0.836089115,2.129910975,887,69.7327044,67.15169548,72.19488607,170,13.36477987,11.60468592,15.3454854,198,15.56603774,13.67772917,17.66170224,33.00,2.59,1.85,3.62,368.00,28.93,26.51,31.48,1272.00
Peterborough,E06000031,64,2.31130372,1.814193419,2.940548631,1684,60.81617913,58.98415951,62.61822955,392,14.15673528,12.90790378,15.50488038,629,22.71578187,21.19358914,24.31357301,140.00,5.06,4.30,5.94,1021.00,36.87,35.09,38.69,2769.00
Southend-on-Sea,E06000033,20,1.01010101,0.654834261,1.555093283,1302,65.75757576,63.63874765,67.81537874,271,13.68686869,12.24308667,15.2712823,387,19.54545455,17.85844037,21.3504115,84.00,4.24,3.44,5.22,658.00,33.23,31.19,35.34,1980.00
Suffolk,E10000029,108,1.439808026,1.194007053,1.735321435,5113,68.16424477,67.1009726,69.20892168,1004,13.38488202,12.63305779,14.17419017,1276,17.01106519,16.1777163,17.87818578,209.00,2.79,2.44,3.18,2280.00,30.40,29.37,31.45,7501.00
Babergh,E07000200,9,1.030927835,0.543308263,1.947616248,605,69.30126002,66.16258915,72.27081254,116,13.28751432,11.19587606,15.70082875,143,16.38029782,14.07351961,18.98165313,27.00,3.09,2.13,4.46,259.00,29.67,26.73,32.78,873.00
Forest Heath,E07000201,9,1.688555347,0.890848535,3.177663399,352,66.0412758,61.91886834,69.93411119,70,13.13320826,10.52768332,16.26634618,102,19.1369606,16.022844,22.69276848,18.00,3.38,2.15,5.27,172.00,32.27,28.44,36.35,533.00
